type,name,fullname,category,nomad_cycles,measured_cycles,measured_by,notes
99,PatternGen,Clocked Pattern Generator,LFO,2.34375,2.2872,Clavia editor menu,"midpoint, 2 sig figs from Clavia display"
100,KeybSplit,Keyboard Splitter,In/Out,0.79,0.7942,Clavia editor menu,exact (unique integer cost at 1/3148)
102,Phaser,14 Pole Phaser,Audio,12.5625,12.0076,Clavia editor menu,"midpoint, 2 sig figs from Clavia display"
103,EqMid,Center Frequency Equalizer,Filter,3.34375,3.3037,Clavia editor menu,"midpoint, 2 sig figs from Clavia display"
104,EqShelving,Hi/Lo Shelving Equalizer,Filter,2.4375,2.3983,Clavia editor menu,"midpoint, 2 sig figs from Clavia display"
105,Expander,Stereo Expander/Gate,Audio,8.28125,8.291,Clavia editor menu,"midpoint, 2 sig figs from Clavia display"
106,OscSineBank,Sine Bank Slave Oscillator,Oscillator,16.78125,16.9949,Clavia editor menu,"midpoint, 2 sig figs from Clavia display"
107,SpectralOsc,Spectral Oscillator,Oscillator,7.90625,7.9098,Clavia editor menu,"midpoint, 2 sig figs from Clavia display"
108,Vocoder,16 Band Vocoder,Filter,48.9375,48.9994,Clavia editor menu,"midpoint, 2 sig figs from Clavia display"
110,RandomGen,Random Generator,LFO,1.4375,1.3977,Clavia editor menu,"midpoint, 2 sig figs from Clavia display"
111,LevMult,Level Multi (Attenuator/Phase Shift),Mixer,0.53125,0.5083,Clavia editor menu,exact (unique integer cost at 1/3148)
112,LevAdd,Level Offset (Bias),Mixer,0.53125,0.5083,Clavia editor menu,exact (unique integer cost at 1/3148)
113,1to2Fade,1 to 2 Fader,Mixer,0.78125,0.7624,Clavia editor menu,exact (unique integer cost at 1/3148)
114,2to1Fade,2 to 1 Fader,Mixer,0.78125,0.7624,Clavia editor menu,exact (unique integer cost at 1/3148)
115,NoteVelScal,Note Velocity Scaler,Control,0.875,0.8577,Clavia editor menu,exact (unique integer cost at 1/3148)
117,RingMod,Ring/Amplitude Modulator,Audio,1.90625,1.906,Clavia editor menu,"midpoint, 2 sig figs from Clavia display"
118,Digitizer,Signal Digitizer,Audio,3.4375,3.399,Clavia editor menu,"midpoint, 2 sig figs from Clavia display"
127,PolyAreaIn,Polyphonic Area In,In/Out,2.2,2.2872,Clavia editor menu,"midpoint, 2 sig figs from Clavia display"
